Ref;Arena Link;Category;Characteristics;Commodity Class;Created Date;Description;DXDB_LIBNAME;Effective Date;Footprint;Halogen Free;Manufacturer 1;Manufacturer 1 PN;Manufacturer 2;Manufacturer 2 PN;Manufacturer 3;Manufacturer 3 PN;Manufacturer 4;Manufacturer 4 PN;Manufacturer 5;Manufacturer 5 PN;Owner;Part Height;Part Status;Rating;Requestor;Revision;RoHS Compliant;Temperature Range;Tolerance;Value;Variant Variable Text;Voltage;Price
R1036;https://app.bom.com/a/ZH0I1L4L4N5P829Z?v=files.associations;Resistor;200ppm/C;PAS - Passives;2011-03-04T16:19:13-08:00;RES, 33, 5%, 1/16W, 50V, -55 +155C, 0402;Resistor;2013-11-26T22:59:31-08:00;0402R;;KOA SPEER ELECTRONICS RK73B1ETTP330J;RK73B1ETTP330J;ROHM MCR01MZPJ330;MCR01MZPJ330;YAGEO RC0402JR-0733RL;RC0402JR-0733RL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;5%;33;;50V;0.0
R1051;https://app.bom.com/a/L3M4N7Q7Q9RBUOS4?v=files.associations;Resistor;200ppm/C;PAS - Passives;2011-03-04T16:23:27-08:00;RES, 10K, 5%, 1/16W, 50V, -55 +155C, 0402;Resistor;2013-04-10T02:27:17-08:00;0402R;;ROHM MCR01MZPJ103;MCR01MZPJ103;KOA SPEER ELECTRONICS RK73B1ETTP103J;RK73B1ETTP103J;YAGEO RC0402JR-0710KL;RC0402JR-0710KL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;5%;10K;;50V;0.0
R1068;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R1069;https://app.bom.com/a/L3M4N7Q7Q9RBUOS4?v=files.associations;Resistor;200ppm/C;PAS - Passives;2011-03-04T16:23:27-08:00;RES, 10K, 5%, 1/16W, 50V, -55 +155C, 0402;Resistor;2013-04-10T02:27:17-08:00;0402R;;ROHM MCR01MZPJ103;MCR01MZPJ103;KOA SPEER ELECTRONICS RK73B1ETTP103J;RK73B1ETTP103J;YAGEO RC0402JR-0710KL;RC0402JR-0710KL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;5%;10K;DNI;50V;0.0
R1071;https://app.bom.com/a/K2L3M6P6P8O6K4FX?v=files.associations;Resistor;;PAS - Passives;2011-05-20T17:32:02-08:00;RES, 0, 0%, 1/20W, 25V, -55 +125C, 0201;Resistor;2015-11-04T10:59:46-08:00;0201R;;KOA SPEER ELECTRONICS RK73Z1HTTC;RK73Z1HTTC;ROHM MCR006YZPJ000;MCR006YZPJ000;YAGEO RC0201JR-070RL;RC0201JR-070RL;;;;;Morris Chau;0.28mm;Production;1/20W;Mark Van Hoorebeke;1;;-55 +125C;0%;0;;25V;0.0
R1077;https://app.bom.com/a/L3M4N7Q7Q9RBUOS4?v=files.associations;Resistor;200ppm/C;PAS - Passives;2011-03-04T16:23:27-08:00;RES, 10K, 5%, 1/16W, 50V, -55 +155C, 0402;Resistor;2013-04-10T02:27:17-08:00;0402R;;ROHM MCR01MZPJ103;MCR01MZPJ103;KOA SPEER ELECTRONICS RK73B1ETTP103J;RK73B1ETTP103J;YAGEO RC0402JR-0710KL;RC0402JR-0710KL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;5%;10K;;50V;0.0
R1078;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;DNI;50V;0.0
R1079;https://app.bom.com/a/L3M4N7Q7Q9RBUOS4?v=files.associations;Resistor;200ppm/C;PAS - Passives;2011-03-04T16:23:27-08:00;RES, 10K, 5%, 1/16W, 50V, -55 +155C, 0402;Resistor;2013-04-10T02:27:17-08:00;0402R;;ROHM MCR01MZPJ103;MCR01MZPJ103;KOA SPEER ELECTRONICS RK73B1ETTP103J;RK73B1ETTP103J;YAGEO RC0402JR-0710KL;RC0402JR-0710KL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;5%;10K;;50V;0.0
R1087;https://app.bom.com/a/K2L3M6P6P8O6K4FX?v=files.associations;Resistor;;PAS - Passives;2011-05-20T17:32:02-08:00;RES, 0, 0%, 1/20W, 25V, -55 +125C, 0201;Resistor;2015-11-04T10:59:46-08:00;0201R;;KOA SPEER ELECTRONICS RK73Z1HTTC;RK73Z1HTTC;ROHM MCR006YZPJ000;MCR006YZPJ000;YAGEO RC0201JR-070RL;RC0201JR-070RL;;;;;Morris Chau;0.28mm;Production;1/20W;Mark Van Hoorebeke;1;;-55 +125C;0%;0;;25V;0.0
R1091;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R1092;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;DNI;50V;0.0
R1098;https://app.bom.com/a/K2L3M6P6P8O6K4FX?v=files.associations;Resistor;;PAS - Passives;2011-05-20T17:32:02-08:00;RES, 0, 0%, 1/20W, 25V, -55 +125C, 0201;Resistor;2015-11-04T10:59:46-08:00;0201R;;KOA SPEER ELECTRONICS RK73Z1HTTC;RK73Z1HTTC;ROHM MCR006YZPJ000;MCR006YZPJ000;YAGEO RC0201JR-070RL;RC0201JR-070RL;;;;;Morris Chau;0.28mm;Production;1/20W;Mark Van Hoorebeke;1;;-55 +125C;0%;0;;25V;0.0
R216;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R217;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R222;https://app.bom.com/a/HZI0J3M3M5N7QKPE?v=files.associations;Resistor;200ppm/C;PAS - Passives;2011-03-04T16:21:37-08:00;RES, 820, 5%, 1/16W, 50V, -55 +155C, 0402;Resistor;2014-03-04T01:38:31-08:00;0402R;;KOA SPEER ELECTRONICS RK73B1ETTP821J;RK73B1ETTP821J;ROHM MCR01MZPJ821;MCR01MZPJ821;YAGEO RC0402JR-07820RL;RC0402JR-07820RL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;5%;820;;50V;0.0
R223;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R224;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R230;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R238;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R251;https://app.bom.com/a/VDWEXH0H0J1M76JC?v=files.associations;Resistor;100ppm/C;PAS - Passives;2011-03-04T14:33:08-08:00;RES, 100K, 1%, 1/16W, 50V, -55 +155C, 0402;Resistor;2013-04-10T02:27:17-08:00;0402R;;ROHM MCR01MZPF1003;MCR01MZPF1003;KOA SPEER ELECTRONICS RK73H1ETTP1003F;RK73H1ETTP1003F;YAGEO RC0402FR-07100KL;RC0402FR-07100KL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;1%;100K;DNI;50V;0.0
R252;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R255;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;DNI;50V;0.0
R260;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R267;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R278;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R279;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;DNI;50V;0.0
R286;https://app.bom.com/a/DVEWFZIZI1J4QQUN?v=files.associations;Resistor;100ppm/C;PAS - Passives;2011-03-04T14:10:06-08:00;RES, 10K, 1%, 1/16W, 50V, -55 +155C, 0402;Resistor;2013-04-10T02:27:17-08:00;0402R;;ROHM MCR01MZPF1002;MCR01MZPF1002;KOA SPEER ELECTRONICS RK73H1ETTP1002F;RK73H1ETTP1002F;YAGEO RC0402FR-0710KL;RC0402FR-0710KL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;1%;10K;;50V;0.0
R287;https://app.bom.com/a/FXGYH1K1K3L5OIOZ?v=files.associations;Resistor;200ppm/C;PAS - Passives;2011-03-04T16:20:04-08:00;RES, 100, 5%, 1/16W, 50V, -55 +155C, 0402;Resistor;2014-04-07T19:00:44-08:00;0402R;;KOA SPEER ELECTRONICS RK73B1ETTP101J;RK73B1ETTP101J;ROHM MCR01MZPJ101;MCR01MZPJ101;YAGEO RC0402JR-07100RL;RC0402JR-07100RL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;5%;100;;50V;0.0
R291;https://app.bom.com/a/VDWEXH0H0J1M76JC?v=files.associations;Resistor;100ppm/C;PAS - Passives;2011-03-04T14:33:08-08:00;RES, 100K, 1%, 1/16W, 50V, -55 +155C, 0402;Resistor;2013-04-10T02:27:17-08:00;0402R;;ROHM MCR01MZPF1003;MCR01MZPF1003;KOA SPEER ELECTRONICS RK73H1ETTP1003F;RK73H1ETTP1003F;YAGEO RC0402FR-07100KL;RC0402FR-07100KL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;1%;100K;DNI;50V;0.0
R301;https://app.bom.com/a/DVEWFZIZI1J4QQUN?v=files.associations;Resistor;100ppm/C;PAS - Passives;2011-03-04T14:10:06-08:00;RES, 10K, 1%, 1/16W, 50V, -55 +155C, 0402;Resistor;2013-04-10T02:27:17-08:00;0402R;;ROHM MCR01MZPF1002;MCR01MZPF1002;KOA SPEER ELECTRONICS RK73H1ETTP1002F;RK73H1ETTP1002F;YAGEO RC0402FR-0710KL;RC0402FR-0710KL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;1%;10K;;50V;0.0
R306;https://app.bom.com/a/DVEWFZIZI1J4QQUN?v=files.associations;Resistor;100ppm/C;PAS - Passives;2011-03-04T14:10:06-08:00;RES, 10K, 1%, 1/16W, 50V, -55 +155C, 0402;Resistor;2013-04-10T02:27:17-08:00;0402R;;ROHM MCR01MZPF1002;MCR01MZPF1002;KOA SPEER ELECTRONICS RK73H1ETTP1002F;RK73H1ETTP1002F;YAGEO RC0402FR-0710KL;RC0402FR-0710KL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;1%;10K;DNI;50V;0.0
R307;https://app.bom.com/a/8Q9RAUDUDWEZLMMG?v=files.associations;Resistor;100ppm/C;PAS - Passives;;RES, 220, 1%, 1/16W, 50V, -55 +155C, 0402;Resistor;2011-03-05T12:28:43-08:00;0402R;;KOA SPEER ELECTRONICS RK73H1ETTP2200F;RK73H1ETTP2200F;YAGEO RC0402FR-07220RL;RC0402FR-07220RL;ROHM MCR01MZPF2200;MCR01MZPF2200;;;;;Michael Sorensen;0.4mm;Design;1/16W;Michael Sorensen;A;;-55 +155C;1%;220;DNI;50V;0.0
R309;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R310;https://app.bom.com/a/3L4M5P8P8R9UGHW6?v=files.associations;Resistor;100ppm/C;PAS - Passives;2011-03-04T12:15:45-08:00;RES, 22, 1%, 1/16W, 50V, -55 +155C, 0402;Resistor;2015-06-16T18:03:21-08:00;0402R;;KOA SPEER ELECTRONICS RK73H1ETTP22R0F;RK73H1ETTP22R0F;ROHM MCR01MZPF22R0;MCR01MZPF22R0;YAGEO RC0402FR-0722RL;RC0402FR-0722RL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;1%;22;;50V;0.0
R311;https://app.bom.com/a/3L4M5P8P8R9UGHW6?v=files.associations;Resistor;100ppm/C;PAS - Passives;2011-03-04T12:15:45-08:00;RES, 22, 1%, 1/16W, 50V, -55 +155C, 0402;Resistor;2015-06-16T18:03:21-08:00;0402R;;KOA SPEER ELECTRONICS RK73H1ETTP22R0F;RK73H1ETTP22R0F;ROHM MCR01MZPF22R0;MCR01MZPF22R0;YAGEO RC0402FR-0722RL;RC0402FR-0722RL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;1%;22;;50V;0.0
R312;https://app.bom.com/a/DVEWFZIZI1J4QQUN?v=files.associations;Resistor;100ppm/C;PAS - Passives;2011-03-04T14:10:06-08:00;RES, 10K, 1%, 1/16W, 50V, -55 +155C, 0402;Resistor;2013-04-10T02:27:17-08:00;0402R;;ROHM MCR01MZPF1002;MCR01MZPF1002;KOA SPEER ELECTRONICS RK73H1ETTP1002F;RK73H1ETTP1002F;YAGEO RC0402FR-0710KL;RC0402FR-0710KL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;1%;10K;;50V;0.0
R313;https://app.bom.com/a/DVEWFZIZI1J4QQUN?v=files.associations;Resistor;100ppm/C;PAS - Passives;2011-03-04T14:10:06-08:00;RES, 10K, 1%, 1/16W, 50V, -55 +155C, 0402;Resistor;2013-04-10T02:27:17-08:00;0402R;;ROHM MCR01MZPF1002;MCR01MZPF1002;KOA SPEER ELECTRONICS RK73H1ETTP1002F;RK73H1ETTP1002F;YAGEO RC0402FR-0710KL;RC0402FR-0710KL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;1%;10K;DNI;50V;0.0
R314;https://app.bom.com/a/L3M4N7Q7Q9RBUORV?v=files.associations;Resistor;200ppm/C;PAS - Passives;2011-03-04T16:24:33-08:00;RES, 47K, 5%, 1/16W, 50V, -55 +155C, 0402;Resistor;2013-04-10T02:27:17-08:00;0402R;;ROHM MCR01MZPJ473;MCR01MZPJ473;KOA SPEER ELECTRONICS RK73B1ETTP473J;RK73B1ETTP473J;YAGEO RC0402JR-0747KL;RC0402JR-0747KL;;;;;Michael Sorensen;0.4mm;Production;1/16W;Michael Sorensen;1;;-55 +155C;5%;47K;;50V;0.0
R330;https://app.bom.com/a/CUDVEYHYH0I3PQ4N?v=files.associations;Resistor;100ppm/C;PAS - Passives;;RES, 27, 1%, 1/16W, 50V, -55 +155C, 0402;Resistor;2011-03-05T11:57:09-08:00;0402R;;KOA SPEER ELECTRONICS RK73H1ETTP27R0F;RK73H1ETTP27R0F;YAGEO RC0402FR-0727RL;RC0402FR-0727RL;ROHM MCR01MZPF27R0;MCR01MZPF27R0;;;;;Michael Sorensen;0.4mm;Design;1/16W;Michael Sorensen;A;;-55 +155C;1%;27;;50V;0.0
R331;https://app.bom.com/a/CUDVEYHYH0I3PQ4N?v=files.associations;Resistor;100ppm/C;PAS - Passives;;RES, 27, 1%, 1/16W, 50V, -55 +155C, 0402;Resistor;2011-03-05T11:57:09-08:00;0402R;;KOA SPEER ELECTRONICS RK73H1ETTP27R0F;RK73H1ETTP27R0F;YAGEO RC0402FR-0727RL;RC0402FR-0727RL;ROHM MCR01MZPF27R0;MCR01MZPF27R0;;;;;Michael Sorensen;0.4mm;Design;1/16W;Michael Sorensen;A;;-55 +155C;1%;27;;50V;0.0
R340;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R341;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;DNI;50V;0.0
R343;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R344;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;DNI;50V;0.0
R345;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R346;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R347;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
R348;https://app.bom.com/a/EWFXG0J0J2L3CI5X?v=files.associations;Resistor;;PAS - Passives;2004-12-15T14:17:57-08:00;RES, 0, 0%, 1/16W, 50V, -55 +125C, 0402;Resistor;2014-04-21T19:46:20-08:00;0402R;N/A;KOA SPEER ELECTRONICS RK73Z1ETTP;RK73Z1ETTP;ROHM MCR01MZPJ000;MCR01MZPJ000;YAGEO RC0402JR-070RL;RC0402JR-070RL;;;;;Morris Chau;0.4mm;Production;1/16W;Robert Hardesty;3;N/A;-55 +125C;0%;0;;50V;0.0
